Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search,Chrome 115.0.0.0,,,2023-07-30 17:24:48,2023-07-30 17:26:17,1m - 28.893s,FAILED
,,,,,,,
Test Cases/Search_ResultMessage,Chrome 115.0.0.0,,,2023-07-30 17:24:48,2023-07-30 17:26:11,1m - 22.493s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-30 17:24:48,2023-07-30 17:24:57,8.185s,PASSED
"navigateToUrl(""https://www.wconcept.co.kr/"")",Chrome 115.0.0.0,,,2023-07-30 17:24:57,2023-07-30 17:25:28,31.236s,PASSED
"setText(findTestObject(""Page_Main/input_text""), ""클리어런스"")",Chrome 115.0.0.0,검색창에 키워드를 입력한다.,,2023-07-30 17:25:28,2023-07-30 17:25:32,3.740s,PASSED
"click(findTestObject(""Page_Main/button_Search""))",Chrome 115.0.0.0,검색창에 돋보기 버튼을 클릭한다.,,2023-07-30 17:25:32,2023-07-30 17:26:07,34.881s,PASSED
"verifyElementPresent(findTestObject(""Page_SearchResult/element_SearchResultMessage""), 0)",Chrome 115.0.0.0,검색결과 페이지에 검색결과 메시지가 표시 되는지 확인한다.,,2023-07-30 17:26:07,2023-07-30 17:26:08,1.842s,PASSED
"verifyElementText(findTestObject(""Page_SearchResult/element_SearchKeyword""), ""‘클리어런스’"")",Chrome 115.0.0.0,검색결과 메시지에 입력 키워드가 표시 되는지 확인한다.,,2023-07-30 17:26:08,2023-07-30 17:26:11,2.234s,PASSED
,,,,,,,
Test Cases/Search_ProductList,Chrome 115.0.0.0,,,2023-07-30 17:26:16,2023-07-30 17:26:17,0.735s,FAILED
"verifyElementPresent(findTestObject(""Page_SearchResult/element_ProductList""), 0)",Chrome 115.0.0.0,검색결과 페이지에 아이템이 1개 이상 노출 되는지 확인한다.,,2023-07-30 17:26:16,2023-07-30 17:26:16,0.327s,PASSED
"dragAndDropByOffset(findTestObject(null), 0, 900)",Chrome 115.0.0.0,,,2023-07-30 17:26:16,2023-07-30 17:26:17,0.386s,FAILED
