Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search,Chrome 115.0.0.0,,,2023-08-16 17:49:26,2023-08-16 17:53:12,3m - 45.523s,FAILED
,,,,,,,
Test Cases/Search_ResultMessage,Chrome 115.0.0.0,,,2023-08-16 17:49:27,2023-08-16 17:50:42,1m - 15.335s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-16 17:49:27,2023-08-16 17:49:36,9.465s,PASSED
"navigateToUrl(""https://www.wconcept.co.kr/"")",Chrome 115.0.0.0,,,2023-08-16 17:49:36,2023-08-16 17:50:11,34.819s,PASSED
"setText(findTestObject(""Page_Main/input_text""), ""클리어런스"")",Chrome 115.0.0.0,검색창에 키워드를 입력한다.,,2023-08-16 17:50:11,2023-08-16 17:50:15,3.376s,PASSED
"click(findTestObject(""Page_Main/button_Search""))",Chrome 115.0.0.0,검색창에 돋보기 버튼을 클릭한다.,,2023-08-16 17:50:15,2023-08-16 17:50:41,26.019s,PASSED
"verifyElementPresent(findTestObject(""Page_SearchResult/element_SearchResultMessage""), 0)",Chrome 115.0.0.0,검색결과 페이지에 검색결과 메시지가 표시 되는지 확인한다.,,2023-08-16 17:50:41,2023-08-16 17:50:42,0.900s,PASSED
"verifyElementText(findTestObject(""Page_SearchResult/element_SearchKeyword""), ""‘클리어런스’"")",Chrome 115.0.0.0,검색결과 메시지에 입력 키워드가 표시 되는지 확인한다.,,2023-08-16 17:50:42,2023-08-16 17:50:42,0.399s,PASSED
,,,,,,,
Test Cases/Search_ProductList,Chrome 115.0.0.0,,,2023-08-16 17:52:37,2023-08-16 17:53:12,34.446s,FAILED
"verifyElementPresent(findTestObject(""Page_SearchResult/element_ProductList""), 0)",Chrome 115.0.0.0,검색결과 페이지에 아이템이 노출 되는지 확인한다.,,2023-08-16 17:52:37,2023-08-16 17:52:38,0.394s,PASSED
"click(findTestObject(""Page_SearchResult/button__NextPage""))",Chrome 115.0.0.0,,,2023-08-16 17:52:38,2023-08-16 17:53:12,34.025s,FAILED
